id,Q1,Q2,Q3,Q4,Q5
conv_501,NO,NO,YES,NO,NO
conv_502,NO,NO,YES,NO,NO
conv_503,NO,NO,YES,NO,NO
conv_504,NO,YES,YES,NO,YES
conv_505,NO,NO,NO,NO,NO
conv_506,NO,NO,YES,NO,NO
conv_507,NO,NO,YES,NO,NO
conv_508,NO,NO,NO,NO,NO
conv_509,NO,NO,YES,NO,NO
conv_510,YES,NO,NO,NO,NO
conv_511,NO,YES,YES,NO,NO
conv_512,YES,YES,YES,NO,NO
conv_513,YES,YES,YES,NO,NO
conv_514,NO,NO,NO,NO,NO
conv_515,NO,NO,NO,NO,NO
conv_516,YES,YES,YES,NO,NO
conv_517,NO,NO,NO,NO,NO
conv_518,YES,NO,YES,NO,NO
conv_519,NO,NO,YES,NO,NO
conv_520,NO,NO,NO,NO,NO
conv_521,NO,NO,NO,NO,NO
conv_522,NO,NO,NO,NO,NO
conv_523,NO,NO,YES,NO,NO
conv_524,NO,YES,YES,NO,NO
conv_525,NO,NO,NO,NO,NO
conv_526,NO,NO,NO,NO,NO
conv_527,NO,NO,NO,NO,NO
conv_528,NO,NO,YES,NO,NO
conv_529,NO,NO,NO,NO,NO
conv_530,NO,NO,NO,NO,NO
conv_531,NO,NO,NO,NO,NO
conv_532,NO,NO,YES,NO,NO
conv_533,NO,NO,NO,NO,NO
conv_534,NO,NO,NO,NO,NO
conv_535,NO,NO,YES,NO,NO
conv_536,NO,YES,YES,NO,NO
conv_537,NO,NO,YES,NO,NO
conv_538,NO,NO,NO,NO,NO
conv_539,NO,NO,YES,NO,NO
conv_540,NO,NO,NO,NO,NO
conv_541,NO,NO,NO,NO,NO
conv_542,NO,NO,YES,NO,NO
conv_543,NO,NO,NO,NO,NO
conv_544,NO,NO,NO,NO,NO
conv_545,NO,NO,NO,NO,NO
conv_546,NO,NO,NO,NO,NO
conv_547,NO,NO,NO,NO,NO
conv_548,YES,YES,NO,NO,NO
conv_549,NO,NO,NO,NO,NO
conv_550,NO,NO,NO,NO,NO
conv_551,NO,YES,YES,NO,NO
conv_552,NO,NO,YES,NO,NO
conv_553,NO,NO,YES,NO,NO
conv_554,NO,NO,NO,NO,NO
conv_555,NO,NO,NO,YES,NO
conv_556,YES,YES,YES,NO,NO
conv_557,NO,NO,NO,NO,NO
conv_558,NO,NO,NO,NO,NO
conv_559,NO,NO,NO,NO,NO
conv_560,NO,NO,NO,YES,NO
conv_561,YES,YES,YES,NO,NO
conv_562,NO,NO,YES,NO,NO
conv_563,NO,NO,YES,NO,NO
conv_564,YES,YES,YES,YES,NO
conv_565,NO,NO,YES,YES,NO
conv_566,NO,NO,YES,NO,NO
conv_567,YES,NO,YES,NO,NO
conv_568,NO,NO,YES,NO,NO
conv_569,YES,YES,YES,NO,NO
conv_570,NO,NO,NO,NO,NO
conv_571,NO,NO,NO,NO,NO
conv_572,NO,NO,YES,NO,NO
conv_573,YES,YES,YES,NO,NO
conv_574,NO,NO,YES,NO,NO
conv_575,YES,NO,YES,NO,NO
conv_576,YES,NO,YES,NO,NO
conv_577,NO,NO,YES,YES,NO
conv_578,NO,NO,NO,NO,NO
conv_579,NO,NO,YES,NO,NO
conv_580,NO,NO,YES,NO,NO
conv_581,NO,YES,YES,NO,NO
conv_582,NO,NO,YES,YES,NO
conv_583,NO,NO,YES,NO,NO
conv_584,YES,NO,YES,NO,NO
conv_585,NO,NO,YES,NO,NO
conv_586,NO,NO,YES,NO,NO
conv_587,NO,NO,NO,NO,NO
conv_588,NO,NO,YES,NO,NO
conv_589,NO,NO,NO,NO,NO
conv_590,NO,NO,YES,NO,NO
conv_591,NO,NO,YES,NO,NO
conv_592,NO,NO,YES,NO,NO
conv_593,NO,YES,YES,NO,NO
conv_594,NO,NO,NO,NO,NO
conv_595,NO,NO,NO,NO,NO
conv_596,NO,NO,YES,NO,NO
conv_597,NO,NO,YES,NO,NO
conv_598,NO,NO,YES,NO,NO
conv_599,NO,NO,YES,NO,NO
conv_600,NO,NO,YES,NO,NO
