id,Q1,Q2,Q3,Q4,Q5
conv_101,NO,NO,NO,NO,NO
conv_102,YES,YES,YES,YES,NO
conv_103,YES,YES,YES,NO,NO
conv_104,YES,YES,NO,NO,NO
conv_105,YES,YES,YES,NO,NO
conv_106,NO,NO,YES,NO,NO
conv_107,NO,YES,YES,NO,NO
conv_108,NO,NO,NO,NO,NO
conv_109,NO,NO,YES,NO,NO
conv_110,NO,NO,YES,NO,NO
conv_111,NO,NO,NO,NO,NO
conv_112,NO,YES,YES,NO,NO
conv_113,YES,YES,NO,NO,NO
conv_114,YES,NO,NO,NO,NO
conv_115,NO,YES,YES,NO,NO
conv_116,YES,YES,NO,NO,NO
conv_117,NO,NO,YES,NO,NO
conv_118,NO,YES,YES,NO,NO
conv_119,NO,NO,YES,NO,NO
conv_120,NO,YES,YES,NO,NO
conv_121,NO,YES,YES,NO,NO
conv_122,NO,NO,NO,NO,NO
conv_123,NO,NO,NO,NO,NO
conv_124,YES,NO,YES,NO,NO
conv_125,NO,NO,YES,NO,NO
conv_126,NO,NO,YES,NO,NO
conv_127,YES,NO,YES,NO,NO
conv_128,YES,NO,NO,NO,NO
conv_129,YES,YES,YES,NO,NO
conv_130,YES,YES,YES,NO,NO
conv_131,NO,NO,YES,NO,NO
conv_132,NO,NO,NO,NO,NO
conv_133,NO,NO,NO,NO,NO
conv_134,YES,YES,YES,NO,NO
conv_135,NO,NO,YES,NO,NO
conv_136,NO,NO,YES,NO,NO
conv_137,NO,NO,NO,NO,NO
conv_138,NO,YES,YES,NO,NO
conv_139,YES,YES,YES,NO,NO
conv_140,NO,NO,YES,NO,NO
conv_141,NO,NO,NO,NO,NO
conv_142,NO,NO,NO,NO,NO
conv_143,NO,YES,YES,NO,NO
conv_144,NO,NO,YES,NO,NO
conv_145,NO,NO,YES,NO,NO
conv_146,NO,NO,YES,NO,NO
conv_147,NO,YES,YES,NO,NO
conv_148,NO,NO,NO,NO,NO
conv_149,NO,YES,YES,NO,NO
conv_150,NO,NO,NO,NO,NO
conv_151,NO,NO,YES,NO,NO
conv_152,NO,NO,YES,NO,NO
conv_153,NO,NO,NO,NO,NO
conv_154,NO,NO,YES,NO,NO
conv_155,NO,YES,YES,NO,NO
conv_156,NO,NO,YES,NO,NO
conv_157,NO,YES,YES,NO,NO
conv_158,NO,YES,YES,NO,NO
conv_159,NO,NO,YES,NO,NO
conv_160,YES,YES,YES,NO,NO
conv_161,YES,YES,YES,NO,YES
conv_162,YES,NO,YES,NO,NO
conv_163,NO,YES,YES,NO,NO
conv_164,NO,NO,NO,YES,NO
conv_165,NO,NO,NO,NO,NO
conv_166,YES,YES,YES,YES,NO
conv_167,NO,NO,NO,NO,NO
conv_168,NO,NO,YES,NO,NO
conv_169,YES,YES,YES,YES,NO
conv_170,NO,NO,NO,NO,NO
conv_171,NO,NO,YES,NO,NO
conv_172,NO,YES,YES,NO,NO
conv_173,YES,YES,YES,NO,NO
conv_174,NO,NO,NO,NO,NO
conv_175,YES,NO,YES,NO,NO
conv_176,NO,NO,NO,NO,NO
conv_177,NO,NO,NO,NO,NO
conv_178,NO,NO,NO,NO,NO
conv_179,NO,NO,YES,NO,NO
conv_180,NO,NO,NO,NO,NO
conv_181,NO,NO,YES,NO,NO
conv_182,YES,NO,NO,NO,NO
conv_183,NO,NO,NO,NO,NO
conv_184,NO,NO,NO,NO,NO
conv_185,NO,NO,NO,NO,NO
conv_186,NO,NO,NO,NO,NO
conv_187,NO,NO,YES,NO,NO
conv_188,NO,NO,YES,NO,NO
conv_189,YES,YES,YES,NO,NO
conv_190,NO,NO,YES,NO,NO
conv_191,YES,YES,NO,NO,NO
conv_192,NO,NO,NO,NO,NO
conv_193,NO,NO,YES,NO,NO
conv_194,NO,NO,NO,NO,NO
conv_195,NO,NO,NO,NO,NO
conv_196,NO,NO,YES,NO,NO
conv_197,NO,NO,YES,NO,NO
conv_198,NO,NO,YES,NO,NO
conv_199,NO,NO,YES,NO,NO
conv_200,NO,NO,NO,NO,NO
