id,Q1,Q2,Q3,Q4,Q5
conv_401,NO,NO,YES,NO,NO
conv_402,NO,YES,NO,NO,NO
conv_403,NO,YES,YES,NO,NO
conv_404,NO,YES,YES,NO,NO
conv_405,YES,YES,NO,NO,NO
conv_406,NO,YES,YES,NO,YES
conv_407,YES,NO,NO,NO,NO
conv_408,NO,NO,NO,NO,NO
conv_409,NO,NO,NO,NO,YES
conv_410,NO,NO,YES,NO,NO
conv_411,NO,NO,YES,NO,YES
conv_412,YES,YES,YES,NO,NO
conv_413,NO,NO,YES,NO,NO
conv_414,NO,NO,NO,NO,YES
conv_415,YES,YES,YES,NO,YES
conv_416,NO,NO,NO,NO,NO
conv_417,NO,NO,NO,NO,NO
conv_418,NO,YES,YES,NO,NO
conv_419,YES,NO,YES,NO,YES
conv_420,NO,NO,NO,NO,NO
conv_421,NO,NO,NO,NO,NO
conv_422,NO,NO,YES,NO,YES
conv_423,YES,YES,YES,NO,NO
conv_424,NO,NO,NO,NO,YES
conv_425,NO,NO,YES,YES,NO
conv_426,NO,NO,YES,NO,NO
conv_427,NO,NO,YES,NO,NO
conv_428,NO,NO,YES,NO,NO
conv_429,NO,NO,YES,NO,NO
conv_430,YES,YES,YES,NO,NO
conv_431,NO,NO,NO,NO,YES
conv_432,NO,NO,NO,NO,NO
conv_433,NO,NO,YES,NO,NO
conv_434,YES,YES,YES,NO,NO
conv_435,NO,NO,YES,NO,NO
conv_436,NO,NO,YES,NO,NO
conv_437,YES,NO,YES,NO,NO
conv_438,YES,YES,YES,NO,NO
conv_439,NO,NO,YES,NO,NO
conv_440,NO,NO,YES,YES,YES
conv_441,YES,YES,NO,NO,NO
conv_442,NO,YES,YES,NO,NO
conv_443,NO,NO,YES,NO,NO
conv_444,NO,NO,NO,NO,NO
conv_445,NO,YES,YES,NO,NO
conv_446,NO,NO,YES,NO,NO
conv_447,YES,YES,YES,NO,NO
conv_448,NO,NO,NO,NO,NO
conv_449,NO,NO,YES,NO,NO
conv_450,NO,NO,YES,NO,NO
conv_451,NO,NO,YES,YES,NO
conv_452,NO,YES,NO,NO,YES
conv_453,NO,NO,YES,NO,NO
conv_454,NO,NO,YES,NO,NO
conv_455,NO,NO,YES,NO,NO
conv_456,YES,YES,YES,NO,NO
conv_457,YES,NO,YES,NO,NO
conv_458,YES,NO,NO,NO,NO
conv_459,NO,NO,YES,NO,NO
conv_460,NO,NO,NO,NO,NO
conv_461,NO,NO,NO,NO,NO
conv_462,NO,NO,YES,NO,NO
conv_463,NO,NO,NO,NO,NO
conv_464,NO,YES,YES,NO,NO
conv_465,NO,NO,YES,NO,NO
conv_466,NO,NO,YES,NO,NO
conv_467,NO,NO,NO,NO,NO
conv_468,NO,NO,YES,NO,NO
conv_469,NO,NO,NO,NO,NO
conv_470,YES,NO,YES,NO,YES
conv_471,NO,NO,YES,NO,NO
conv_472,YES,YES,YES,YES,NO
conv_473,NO,NO,YES,NO,NO
conv_474,NO,NO,YES,NO,NO
conv_475,NO,NO,NO,NO,NO
conv_476,NO,NO,NO,NO,NO
conv_477,NO,NO,NO,NO,NO
conv_478,NO,NO,YES,NO,NO
conv_479,NO,NO,YES,NO,NO
conv_480,NO,NO,YES,NO,NO
conv_481,NO,YES,YES,NO,NO
conv_482,YES,YES,YES,NO,NO
conv_483,NO,NO,NO,NO,NO
conv_484,NO,NO,NO,NO,NO
conv_485,NO,NO,NO,NO,NO
conv_486,NO,YES,YES,NO,NO
conv_487,NO,NO,NO,NO,NO
conv_488,NO,NO,NO,NO,NO
conv_489,NO,NO,NO,NO,NO
conv_490,NO,NO,YES,NO,NO
conv_491,NO,NO,NO,NO,NO
conv_492,YES,YES,YES,NO,NO
conv_493,NO,NO,NO,NO,NO
conv_494,NO,NO,NO,NO,NO
conv_495,NO,NO,YES,NO,NO
conv_496,NO,NO,NO,NO,NO
conv_497,NO,NO,NO,NO,NO
conv_498,NO,YES,YES,NO,NO
conv_499,NO,NO,NO,NO,NO
conv_500,NO,NO,YES,NO,NO
