id,Q1,Q2,Q3,Q4,Q5
conv_601,NO,NO,NO,NO,NO
conv_602,NO,NO,NO,NO,NO
conv_603,NO,NO,NO,NO,NO
conv_604,NO,NO,NO,NO,NO
conv_605,YES,NO,NO,NO,NO
conv_606,NO,NO,NO,NO,NO
conv_607,NO,NO,NO,NO,NO
conv_608,NO,NO,NO,NO,NO
conv_609,NO,NO,NO,NO,NO
conv_610,NO,NO,NO,NO,NO
conv_611,NO,NO,NO,NO,NO
conv_612,NO,NO,NO,NO,NO
conv_613,YES,NO,NO,NO,NO
conv_614,NO,NO,NO,NO,NO
conv_615,NO,NO,NO,NO,NO
conv_616,NO,NO,NO,NO,NO
conv_617,NO,NO,NO,NO,NO
conv_618,NO,NO,NO,NO,NO
conv_619,NO,NO,NO,NO,NO
conv_620,NO,NO,NO,NO,NO
conv_621,NO,NO,NO,NO,NO
conv_622,NO,NO,NO,NO,NO
conv_623,NO,NO,NO,NO,NO
conv_624,NO,NO,NO,NO,NO
conv_625,NO,NO,NO,NO,NO
conv_626,NO,NO,NO,NO,NO
conv_627,NO,NO,NO,NO,NO
conv_628,NO,NO,NO,NO,NO
conv_629,NO,NO,YES,NO,NO
conv_630,NO,NO,NO,NO,NO
conv_631,NO,NO,NO,NO,NO
conv_632,NO,NO,YES,NO,NO
conv_633,NO,NO,NO,NO,NO
conv_634,NO,NO,NO,NO,NO
conv_635,NO,NO,NO,NO,NO
conv_636,NO,NO,NO,NO,NO
conv_637,NO,NO,NO,NO,NO
conv_638,YES,NO,YES,NO,NO
conv_639,NO,NO,NO,NO,NO
conv_640,NO,NO,YES,YES,NO
conv_641,NO,NO,NO,NO,NO
conv_642,NO,NO,NO,NO,NO
conv_643,NO,NO,NO,NO,NO
conv_644,NO,NO,NO,NO,NO
conv_645,NO,NO,NO,NO,NO
conv_646,NO,NO,NO,NO,NO
conv_647,NO,NO,NO,NO,NO
conv_648,NO,NO,NO,NO,NO
conv_649,NO,NO,NO,NO,NO
conv_650,NO,NO,NO,NO,NO
conv_651,NO,NO,NO,NO,NO
conv_652,NO,NO,NO,NO,NO
conv_653,NO,NO,NO,NO,NO
conv_654,NO,NO,NO,NO,NO
conv_655,NO,NO,NO,NO,NO
conv_656,YES,NO,NO,NO,NO
conv_657,NO,NO,NO,NO,NO
conv_658,NO,NO,NO,NO,NO
conv_659,NO,NO,NO,NO,NO
conv_660,NO,NO,NO,NO,NO
conv_661,NO,NO,NO,NO,NO
conv_662,YES,NO,NO,NO,NO
conv_663,NO,NO,NO,NO,NO
conv_664,NO,NO,NO,NO,NO
conv_665,NO,NO,NO,NO,NO
conv_666,NO,NO,NO,NO,NO
conv_667,NO,NO,NO,NO,NO
conv_668,NO,NO,NO,NO,NO
conv_669,NO,NO,NO,NO,NO
conv_670,NO,NO,NO,NO,NO
conv_671,YES,NO,NO,NO,NO
conv_672,NO,NO,NO,NO,NO
conv_673,NO,NO,NO,NO,NO
conv_674,NO,NO,NO,NO,NO
conv_675,NO,NO,NO,NO,NO
conv_676,NO,NO,NO,NO,NO
conv_677,NO,NO,NO,NO,NO
conv_678,NO,NO,NO,NO,NO
conv_679,NO,NO,NO,NO,NO
conv_680,NO,NO,NO,NO,NO
conv_681,YES,NO,NO,NO,NO
conv_682,NO,NO,YES,NO,NO
conv_683,NO,NO,NO,NO,NO
conv_684,YES,NO,NO,NO,NO
conv_685,NO,NO,NO,NO,NO
conv_686,NO,NO,NO,NO,NO
conv_687,NO,NO,NO,NO,NO
conv_688,NO,NO,NO,NO,NO
conv_689,NO,NO,NO,NO,NO
conv_690,NO,NO,NO,NO,NO
conv_691,NO,NO,NO,NO,NO
conv_692,NO,NO,NO,NO,NO
conv_693,NO,NO,NO,NO,NO
conv_694,NO,NO,NO,NO,NO
conv_695,NO,NO,NO,NO,NO
conv_696,NO,NO,NO,NO,NO
conv_697,NO,NO,NO,NO,NO
conv_698,NO,NO,NO,NO,NO
conv_699,NO,NO,NO,NO,NO
conv_700,YES,NO,NO,NO,NO
