id,Q1,Q2,Q3,Q4,Q5
conv_701,NO,YES - CATES: Whaddya think? ELAINE: What do I know?  I'm just a bartender.,"YES - CATES: Let's go, Reggie.",NO,NO
conv_702,NO,NO,NO,NO,NO
conv_703,NO,NO,NO,NO,NO
conv_704,NO,NO,NO,NO,NO
conv_705,NO,YES - ELAINE: Who the hell are you?,NO,NO,NO
conv_706,NO,NO,NO,NO,NO
conv_707,NO,NO,NO,NO,NO
conv_708,NO,YES - ELAINE said 'Have you two ace detectives checked that out?' implying she wants them to investigate his character,NO,NO,NO
conv_709,NO,YES - GANZ: Shut up.,NO,NO,NO
conv_710,NO,"YES - ""What do you want?  What's goin' on?"" (LISA)",NO,NO,NO
conv_711,NO,YES - LISA: What do you want?,NO,NO,NO
conv_712,NO,"YES - GANZ: Keep stallin.' (implying a playful, teasing tone)",NO,NO,NO
conv_713,NO,NO,NO,NO,NO
conv_714,NO,NO,NO,NO,NO
conv_715,NO,YES - LUTHER: I thought you were locked up- (implies interest in GANZ's current status),NO,NO,NO
conv_716,NO,NO,NO,NO,NO
conv_717,NO,"YES - LUTHER: 'Come on, you can trust me. Please.' (implying a request for trust, but not explicitly asking for age)",NO,NO,NO
conv_718,NO,NO,NO,NO,NO
conv_719,NO,NO,NO,NO,NO
conv_720,NO,NO,NO,NO,NO
conv_721,NO,NO,NO,NO,NO
conv_722,NO,YES - SOSNA: You sure?,NO,NO,NO
conv_723,NO,NO,NO,NO,NO
conv_724,NO,NO,NO,"YES - SOSNA: 'This is clean shit.  No serial numbers and never been used...' (implied sale or trade), HAMMOND: 'Five.  On credit.' (credit purchase)",NO
conv_725,NO,"YES - HAMMOND: 'I haven't got the money so what are you gonna do about it?' (implying a past situation, but not directly asking for age)",NO,NO,NO
conv_726,NO,NO,NO,NO,NO
conv_727,NO,"YES - ""LEELOO"", 'text': 'Corn-i-Lius?'"" (Leeloo is asking Cornelius about his name, not age)",NO,NO,NO
conv_728,NO,"YES - 'What're you laughing about?' (CORNELIUS) - This is a question, but it's not asking for age",NO,NO,NO
conv_729,NO,NO,NO,NO,NO
conv_730,NO,NO,NO,NO,NO
conv_731,NO,"YES - LEELOO: Vano da, mechteba?! Soun domo kala chon hammas! (approximately translates to 'What's your wish?' or 'Tell me your dream') - This implies LEELOO is asking about Cornelius' thoughts or intentions but not directly age, however this might be a bit of stretch and in most contexts it would mean the other person asked. However, in this context, we will consider this as an indirect ask.",NO,NO,NO
conv_732,NO,NO,NO,NO,NO
conv_733,NO,NO,NO,NO,NO
conv_734,NO,NO,NO,NO,NO
conv_735,NO,NO,YES - ZORG: Follow me..,NO,NO
conv_736,NO,NO,NO,NO,NO
conv_737,NO,NO,NO,NO,NO
