id,Q1,Q2,Q3,Q4,Q5
conv_801,NO,NO,NO,NO,NO
conv_802,NO,NO,NO,NO,NO
conv_803,NO,NO,"YES - KORBEN: 'I'll take you to the bar, after that, you're on your own.'",NO,NO
conv_804,NO,NO,NO,NO,NO
conv_805,NO,NO,NO,NO,NO
conv_806,NO,NO,NO,NO,NO
conv_807,NO,NO,NO,NO,NO
conv_808,NO,NO,NO,NO,NO
conv_809,NO,NO,NO,NO,NO
conv_810,NO,NO,NO,NO,NO
conv_811,NO,YES - KORBEN: What did you say? What did you do?,NO,NO,NO
conv_812,NO,NO,NO,NO,NO
conv_813,NO,NO,NO,NO,NO
conv_814,NO,YES - KORBEN: And the third one?,NO,NO,NO
conv_815,NO,NO,NO,NO,NO
conv_816,NO,NO,NO,NO,NO
conv_817,NO,YES - MUNRO: What is it?,NO,NO,NO
conv_818,NO,NO,NO,NO,NO
conv_819,NO,NO,"YES - KORBEN: ""Let me set up another meeting and I'll be back.""",NO,NO
conv_820,NO,NO,NO,NO,NO
conv_821,NO,"YES - LEELOO: Valo massa... Chacha hamas. (implying a question about KORBEN's well-being or something, but no direct ask)",NO,NO,NO
conv_822,NO,NO,NO,NO,NO
conv_823,NO,NO,NO,NO,NO
conv_824,NO,NO,NO,NO,NO
conv_825,NO,NO,NO,NO,NO
conv_826,NO,NO,NO,NO,NO
conv_827,NO,NO,NO,NO,NO
conv_828,NO,NO,NO,NO,NO
conv_829,NO,"YES - KORBEN: 'You get that off the screen?' (implying a request to remove information, possibly including age)",NO,NO,NO
conv_830,NO,YES - KORBEN: Where you going?,NO,NO,NO
conv_831,NO,NO,NO,NO,NO
conv_832,NO,NO,NO,NO,NO
conv_833,NO,NO,NO,NO,NO
conv_834,NO,NO,NO,NO,NO
conv_835,NO,NO,NO,NO,NO
conv_836,NO,NO,NO,NO,NO
conv_837,NO,YES - LEELOO: Why?... Why would you need me?,NO,NO,NO
conv_838,NO,"YES - ""Tell me..."" - LEELOO (implying a question about personal information, but not explicitly asking for age)",NO,NO,NO
conv_839,NO,YES - 'How someone strong like you scared from a message? Is good news I sure!' (THAI is asking KORBEN about his reaction to bad news),NO,NO,NO
conv_840,NO,NO,NO,YES - KORBEN: 'At least I won lunch.' and THAI: 'I prepare number one dessert.. special for you and pussy..',NO
conv_841,NO,YES - KORBEN: Been here long?,NO,NO,NO
conv_842,NO,NO,NO,NO,NO
conv_843,NO,NO,NO,NO,NO
conv_844,NO,NO,NO,NO,NO
conv_845,NO,NO,YES - 'Yes... I can't wait to meet him.',NO,NO
conv_846,NO,YES - MUNRO: Is there any danger? Some kind of virus?,NO,NO,NO
conv_847,NO,NO,NO,NO,NO
conv_848,NO,NO,NO,NO,NO
conv_849,NO,NO,NO,NO,NO
conv_850,NO,NO,NO,NO,NO
conv_851,NO,NO,NO,NO,NO
conv_852,NO,NO,NO,NO,NO
conv_853,NO,YES - No evidence found in conversation,NO,NO,NO
conv_854,"YES - No age was given, but the speaker ""PRESIDENT"" says ""There are no results from the chemical and molecular analysis as of yet, all the calibers are overshot..we're hoping a thermo nucleatic imaging.."" which implies they are discussing something without giving their age.",NO,NO,NO,NO
conv_855,NO,NO,NO,NO,NO
conv_856,NO,NO,NO,NO,NO
conv_857,NO,NO,NO,NO,NO
conv_858,NO,NO,NO,NO,NO
conv_859,NO,NO,NO,NO,NO
conv_860,NO,NO,NO,NO,NO
conv_861,NO,NO,NO,NO,NO
conv_862,NO,NO,NO,NO,NO
conv_863,NO,NO,NO,NO,NO
conv_864,NO,NO,NO,YES - ZORG: 'I'll have the 4 pieces you asked for any time now.',NO
conv_865,NO,NO,"YES - SHADOW said ""...I can't wait to be among you."" This implies a desire for physical presence, likely at the location of 'The Stones'.",NO,NO
conv_866,NO,NO,NO,NO,NO
conv_867,NO,"YES - AMY: ""What's this... have you been smoking... ?"" (implying she is accusing WELLES of something, but not directly asking about his age), however in the previous conversation segment, it was mentioned that amy asked welles to describe himself which could be interpreted as trying to gather more information about him. However, there's no direct question regarding age.",NO,NO,NO
conv_868,NO,YES - AMY: How's the detective business?,NO,NO,NO
conv_869,NO,NO,NO,NO,NO
conv_870,NO,NO,NO,NO,NO
conv_871,NO,NO,NO,"YES - ""This is Cindy's college money."" (given as mortgage)",NO
conv_872,NO,NO,NO,NO,NO
conv_873,NO,NO,NO,NO,NO
conv_874,NO,"YES - 'AMY', 'text': 'What's going on, Tom?  What happened?'",NO,NO,NO
conv_875,NO,"YES - AMY: ""Why haven't you called?  Why don't you answer your phone?"" (implying she wants him to respond, but not directly asking for his age)",NO,NO,NO
conv_876,NO,NO,NO,NO,NO
conv_877,NO,NO,NO,NO,NO
conv_878,NO,NO,NO,NO,NO
conv_879,NO,NO,NO,NO,NO
conv_880,NO,YES - WELLES: What are these?,NO,"YES - ANGRY DEALER: Buy five, get one free.",NO
conv_881,NO,NO,NO,NO,NO
conv_882,NO,NO,NO,NO,NO
conv_883,NO,NO,NO,NO,NO
conv_884,NO,NO,NO,NO,NO
conv_885,NO,"YES - DINO VELVET, 'And, who's your colorful little chum?' (implying a question about Welles' companion)",NO,NO,NO
conv_886,NO,NO,NO,NO,NO
conv_887,NO,NO,NO,YES - Five thousand dollars. (quote from WELLES),NO
conv_888,NO,NO,NO,YES - We can do that.,NO
conv_889,NO,NO,NO,NO,NO
conv_890,NO,NO,NO,"YES - ""I'll do this for you.  Fifteen thousand dollars.""",NO
conv_891,NO,"YES - ""Where's that?"" (implying a question about location, but no direct ask for age)",NO,NO,NO
conv_892,NO,NO,NO,NO,NO
conv_893,NO,YES - WELLES: Where are the women?,NO,NO,NO
conv_894,NO,NO,NO,NO,NO
conv_895,NO,"YES - ""What are you... ?"" (WELLES)",NO,NO,NO
