id,Q1,Q2,Q3,Q4,Q5
conv_201,NO,"YES - WALTER: 'What just happened?' (implying a desire to understand Sharon's previous statement, but not directly asking about her age)",NO,NO,NO
conv_202,NO,NO,NO,NO,NO
conv_203,NO,NO,NO,NO,NO
conv_204,NO,NO,NO,NO,NO
conv_205,NO,NO,NO,NO,NO
conv_206,NO,NO,NO,NO,NO
conv_207,NO,NO,NO,NO,NO
conv_208,NO,NO,NO,NO,NO
conv_209,NO,NO,NO,NO,NO
conv_210,NO,NO,NO,NO,NO
conv_211,NO,NO,NO,NO,NO
conv_212,NO,NO,NO,NO,NO
conv_213,NO,NO,NO,NO,NO
conv_214,NO,NO,NO,NO,NO
conv_215,NO,NO,NO,NO,NO
conv_216,NO,NO,NO,NO,NO
conv_217,NO,YES - No evidence found in conversation,NO,NO,NO
conv_218,NO,YES - COLUMBUS: Perhaps I was never meant to live with a woman...,NO,NO,NO
conv_219,NO,NO,NO,NO,NO
conv_220,NO,NO,NO,NO,NO
conv_221,NO,"YES - BEATRIX: ""You don't usually ask."" implies Columbus is asking a question, but it's not about age.",NO,YES - COLUMBUS: 'I can arrange for the Queen to take Fernando and Diego into her service.' implies Columbus is offering a favor or service.,NO
conv_222,NO,NO,NO,NO,NO
conv_223,NO,NO,NO,NO,NO
conv_224,NO,NO,NO,NO,NO
conv_225,NO,"YES - BEATRIX: What is it, now?  Tell me...",NO,NO,NO
conv_226,NO,NO,NO,NO,NO
conv_227,NO,NO,NO,NO,NO
conv_228,NO,NO,NO,NO,NO
conv_229,NO,NO,NO,NO,NO
conv_230,NO,YES - 'You promise?  Do you swear on St. Christopher...?' - FERNANDO,NO,NO,NO
conv_231,NO,NO,NO,NO,NO
conv_232,NO,NO,YES - FERNANDO: This time with me! (implying meeting),NO,NO
conv_233,NO,"YES - 'How are you feeling, Fernando?' (asking about feelings which can imply a desire to know more about Fernando's current state)",NO,NO,NO
conv_234,NO,NO,NO,NO,NO
conv_235,NO,YES - COLUMBUS: What are you listening to?,NO,NO,NO
conv_236,NO,NO,NO,NO,NO
conv_237,NO,NO,NO,NO,NO
conv_238,NO,"YES - 'SANCHEZ', 'text': 'No?'",NO,NO,NO
conv_239,NO,NO,NO,NO,NO
conv_240,NO,NO,NO,NO,NO
conv_241,NO,NO,NO,NO,NO
conv_242,NO,NO,NO,NO,NO
conv_243,NO,NO,NO,NO,NO
conv_244,NO,NO,NO,NO,NO
conv_245,NO,NO,NO,NO,NO
conv_246,NO,NO,NO,NO,NO
conv_247,NO,NO,NO,NO,NO
conv_248,NO,NO,NO,NO,NO
conv_249,NO,NO,NO,NO,NO
conv_250,NO,"YES - UTAPAN: 'Chief says -- how many?' (implying asking about a count or quantity, possibly age)",NO,NO,NO
conv_251,NO,NO,NO,NO,NO
conv_252,NO,NO,NO,NO,NO
conv_253,NO,NO,NO,NO,NO
conv_254,NO,NO,NO,NO,NO
conv_255,NO,NO,NO,NO,NO
conv_256,NO,NO,NO,NO,NO
conv_257,NO,NO,NO,NO,NO
conv_258,NO,"YES - ""How can you be so certain?"" (MARCHENA), ""How can you be so certain?"" (MARCHENA)",NO,NO,NO
conv_259,NO,NO,NO,NO,NO
conv_260,NO,NO,NO,NO,NO
conv_261,NO,NO,NO,NO,NO
conv_262,NO,NO,NO,NO,NO
conv_263,NO,NO,NO,NO,NO
conv_264,NO,NO,NO,NO,NO
conv_265,NO,NO,NO,NO,NO
conv_266,NO,NO,NO,NO,NO
conv_267,NO,NO,NO,NO,NO
conv_268,NO,NO,NO,NO,NO
conv_269,NO,NO,NO,NO,NO
conv_270,NO,"YES - 'COLUMBUS', 'text': 'What did they say about Granada before today?'",NO,NO,NO
conv_271,NO,NO,NO,NO,NO
conv_272,NO,YES - 'May I speak freely?' by COLUMBUS (implying a desire to be open),NO,NO,NO
conv_273,NO,"YES - ISABEL: How old are you, Senor Colon?",NO,NO,NO
conv_274,NO,NO,NO,NO,NO
conv_275,NO,NO,NO,NO,NO
conv_276,NO,NO,NO,NO,NO
conv_277,NO,NO,NO,NO,NO
conv_278,NO,NO,NO,NO,NO
conv_279,NO,NO,NO,NO,NO
conv_280,NO,"YES - MOXICA did not ask COLUMBUS about his age, but rather mentioned 'Not my horse.' which implies a previous statement or context that is not provided in this conversation segment.",NO,NO,NO
conv_281,NO,NO,NO,NO,NO
conv_282,NO,NO,NO,NO,NO
conv_283,NO,NO,NO,NO,NO
conv_284,NO,"YES - ""What do you read?"" (COLUMBUS)",NO,NO,NO
conv_285,NO,NO,NO,NO,NO
conv_286,NO,NO,YES - COLUMBUS: 'Where can I meet this man?',NO,NO
conv_287,NO,NO,NO,NO,NO
conv_288,NO,"YES - ""Is that the man I knew, Treasurer Sanchez?"" (ISABEL's question implies curiosity about Sanchez's identity, but not his age)",NO,NO,NO
conv_289,NO,NO,NO,NO,NO
conv_290,NO,NO,NO,NO,NO
conv_291,NO,NO,NO,NO,NO
conv_292,NO,"YES - ISABEL: Is this true, Brother Buyl?",NO,NO,NO
conv_293,NO,NO,NO,NO,NO
conv_294,NO,YES - SANCHEZ: Then why?,NO,NO,NO
conv_295,NO,YES - EMIL: Are you my attorney?,NO,YES - EMIL: Here.  I have your money.,NO
conv_296,NO,NO,NO,NO,YES - CUTLER: 'He has the camera!  He took the movie!' and EMIL: 'Oh no!  No!  Shit!'
conv_297,NO,YES - EMIL: Where are we going? (implying a desire to know the destination),NO,NO,NO
conv_298,NO,NO,NO,"YES - CUTLER: ""I brought you some letters.  It's really fan mail.  Women mostly.  One wants to buy you clothes, another sent a check.""",NO
conv_299,NO,NO,NO,NO,NO
conv_300,NO,YES - 'Tell me about yourself.  What you did as a young boy... what your parents were like.' (CUTLER),NO,NO,NO
