id,Q1,Q2,Q3,Q4,Q5
conv_301,NO,YES - 'Your father put cigarettes out on you?' (CUTLER),NO,NO,NO
conv_302,NO,NO,NO,NO,NO
conv_303,NO,NO,NO,NO,NO
conv_304,NO,NO,NO,NO,NO
conv_305,NO,NO,NO,NO,NO
conv_306,NO,YES - DAPHNE: Are you married?,YES - DAPHNE: Could we stop at your place? I could take a shower...before I go into custody?,NO,NO
conv_307,NO,NO,"YES - JORDY said 'I can't take you to my place.' which implies a physical location, and DAPHNE asked 'Somewhere else?' suggesting they want to meet up somewhere",NO,NO
conv_308,NO,NO,"YES - JORDY's text: 'This way.' (implying a physical location, possibly the fire station)",NO,NO
conv_309,NO,YES - No evidence found in conversation,NO,NO,NO
conv_310,NO,YES - 'So you were never a prostitute?' (JORDY),NO,NO,NO
conv_311,NO,NO,NO,NO,NO
conv_312,NO,NO,NO,NO,NO
conv_313,NO,YES - JORDY: Is he your boyfriend?,NO,NO,NO
conv_314,NO,NO,NO,NO,NO
conv_315,NO,NO,NO,NO,NO
conv_316,NO,NO,NO,NO,NO
conv_317,NO,NO,NO,NO,NO
conv_318,NO,"YES - ...Do you really want me to forget about you?' (implied, but not directly asked)",NO,NO,NO
conv_319,NO,YES - No evidence found in conversation,NO,NO,NO
conv_320,NO,"YES - 'If I tell you, will you arrest me?'",NO,NO,NO
conv_321,NO,NO,NO,NO,NO
conv_322,NO,NO,NO,NO,NO
conv_323,NO,NO,NO,NO,NO
conv_324,NO,YES - 'Who did cause and origin?' (DUFFY),NO,NO,NO
conv_325,NO,NO,NO,NO,NO
conv_326,NO,YES - No evidence found in conversation,NO,NO,NO
conv_327,NO,NO,NO,NO,NO
conv_328,NO,NO,NO,NO,NO
conv_329,NO,NO,NO,NO,NO
conv_330,NO,NO,YES - DUFFY: Swing by her apartment.,NO,YES - KORFIN: Yeah.  He finished awhile ago.
conv_331,NO,NO,NO,NO,NO
conv_332,NO,"YES - No specific question about age was found, but there is a mention of 'some kid' which implies an inquiry about the perpetrator's age in general conversation.",NO,NO,NO
conv_333,NO,YES - No evidence found in conversation,NO,NO,NO
conv_334,NO,NO,NO,NO,NO
conv_335,NO,NO,NO,NO,NO
conv_336,NO,NO,NO,NO,NO
conv_337,NO,NO,"YES - EDDIE: ""C'mere."" (implying a physical meeting)",NO,NO
conv_338,NO,"YES - EDDIE: ""The other side of the street.  The guy with the videocamera."" (implying curiosity, but no direct question about age)",NO,NO,"YES - EDDIE: ""The guy with the videocamera."" (referring to a person with a camera)"
conv_339,NO,"YES - 'EDDIE', 'text': 'Are you hit?'",NO,NO,NO
conv_340,NO,NO,NO,NO,YES - ['He got my gun!  Motherfucker was filming the whole time!']
conv_341,NO,NO,NO,NO,NO
conv_342,NO,"YES - 'What's wrong?' (ROSE) - This question is not about age, but it implies a request for information, however, there's no explicit ask for age. Still, there's another part: 'We don't have her I.D. yet' (EDDIE), which does imply an inquiry related to identification, but the conversation continues without asking Eddie's ID or age.",NO,NO,NO
conv_343,NO,NO,NO,NO,NO
conv_344,NO,"YES - Eddie's text: 'What are you saying?' implies a question, but not specifically about age.",NO,NO,NO
conv_345,NO,NO,NO,NO,NO
conv_346,NO,NO,NO,NO,NO
conv_347,NO,"YES - 'You know what that is, right?'",NO,NO,NO
conv_348,NO,NO,NO,NO,NO
conv_349,NO,"YES - 'EDDIE', 'text': 'But I would like to ask you something.  You got a problem with me?'",NO,NO,NO
conv_350,NO,NO,NO,NO,NO
conv_351,NO,NO,NO,NO,NO
conv_352,NO,NO,NO,NO,NO
conv_353,NO,"YES - EDDIE: ""You're Polish?""",NO,NO,NO
conv_354,NO,"YES - JORDY: ""You goin' to the escort service?"" (implying JORDY is asking EDDIE about his plans, but not directly asking for age)","YES - JORDY: ""Mind if I ride along with you?"" (implying a physical meeting or ride-along)",NO,NO
conv_355,NO,NO,NO,NO,NO
conv_356,NO,NO,NO,NO,NO
conv_357,NO,NO,"YES - ""Leon - meet us at 63rd and Madison. Hair salon. Ludwig's.""",NO,NO
conv_358,NO,NO,NO,NO,NO
conv_359,NO,NO,NO,NO,NO
conv_360,NO,YES - JORDY: Why not? EDDIE: Something back home?,NO,NO,NO
conv_361,NO,NO,NO,NO,NO
