id,Q1,Q2,Q3,Q4,Q5
conv_901,NO,NO,YES,NO,NO
conv_902,NO,NO,NO,NO,NO
conv_903,YES,NO,YES,NO,NO
conv_904,NO,NO,YES,NO,NO
conv_905,NO,NO,YES,NO,NO
conv_906,YES,YES,YES,NO,YES
conv_907,YES,NO,NO,NO,NO
conv_908,NO,NO,YES,NO,NO
conv_909,NO,YES,NO,NO,NO
conv_910,NO,NO,YES,NO,NO
conv_911,NO,YES,YES,NO,NO
conv_912,NO,YES,YES,NO,NO
conv_913,NO,YES,YES,NO,NO
conv_914,NO,NO,NO,NO,NO
conv_915,NO,NO,NO,NO,NO
conv_916,NO,NO,YES,NO,NO
conv_917,NO,NO,NO,NO,NO
conv_918,NO,YES,YES,NO,NO
conv_919,NO,NO,YES,NO,NO
conv_920,YES,NO,YES,NO,NO
conv_921,NO,NO,NO,NO,NO
conv_922,YES,NO,YES,NO,NO
conv_923,YES,YES,YES,YES,NO
conv_924,NO,NO,NO,NO,NO
conv_925,NO,NO,NO,NO,NO
conv_926,NO,NO,YES,NO,NO
conv_927,NO,NO,YES,NO,NO
conv_928,NO,NO,YES,NO,YES
conv_929,YES,NO,YES,NO,YES
conv_930,YES,YES,NO,NO,NO
conv_931,NO,YES,YES,NO,YES
conv_932,NO,NO,NO,NO,NO
conv_933,YES,YES,YES,NO,NO
conv_934,NO,NO,YES,NO,NO
conv_935,NO,NO,YES,NO,NO
conv_936,NO,NO,NO,NO,NO
conv_937,YES,YES,YES,YES,YES
conv_938,YES,YES,NO,NO,NO
conv_939,YES,YES,YES,YES,YES
conv_940,YES,YES,YES,NO,NO
conv_941,NO,NO,YES,NO,YES
conv_942,NO,NO,NO,NO,NO
conv_943,NO,NO,NO,NO,NO
conv_944,NO,NO,YES,NO,NO
conv_945,NO,YES,YES,NO,NO
conv_946,YES,YES,YES,NO,NO
conv_947,NO,NO,NO,NO,NO
conv_948,NO,NO,NO,NO,NO
conv_949,YES,NO,NO,NO,NO
conv_950,YES,NO,NO,NO,NO
conv_951,NO,NO,NO,NO,NO
conv_952,NO,NO,YES,NO,NO
conv_953,YES,NO,NO,NO,NO
conv_954,NO,NO,NO,NO,NO
conv_955,NO,NO,YES,NO,NO
conv_956,NO,NO,NO,NO,NO
conv_957,YES,NO,NO,NO,NO
conv_958,NO,NO,YES,NO,NO
conv_959,NO,YES,YES,YES,NO
conv_960,NO,NO,YES,NO,YES
conv_961,NO,NO,YES,NO,NO
conv_962,NO,NO,YES,NO,NO
conv_963,YES,YES,YES,YES,NO
conv_964,YES,YES,YES,NO,NO
conv_965,NO,NO,YES,NO,NO
conv_966,NO,NO,YES,NO,NO
conv_967,NO,NO,YES,NO,NO
conv_968,YES,NO,YES,NO,NO
conv_969,NO,NO,NO,NO,NO
conv_970,NO,NO,YES,NO,NO
conv_971,YES,YES,YES,YES,YES
conv_972,NO,NO,YES,NO,NO
conv_973,NO,NO,NO,NO,NO
conv_974,NO,NO,YES,NO,NO
conv_975,YES,YES,YES,NO,NO
conv_976,YES,NO,YES,NO,NO
conv_977,YES,NO,YES,NO,NO
conv_978,NO,YES,YES,NO,NO
conv_979,YES,NO,YES,NO,NO
conv_980,NO,NO,YES,NO,NO
conv_981,YES,YES,YES,NO,NO
conv_982,YES,YES,YES,NO,NO
conv_983,NO,YES,YES,NO,NO
conv_984,NO,NO,YES,NO,NO
conv_985,NO,NO,NO,NO,NO
conv_986,YES,YES,YES,NO,NO
conv_987,YES,NO,NO,NO,NO
conv_988,NO,NO,NO,NO,NO
conv_989,NO,NO,YES,NO,NO
conv_990,NO,YES,YES,NO,NO
conv_991,YES,YES,NO,NO,NO
conv_992,NO,NO,NO,NO,NO
conv_993,NO,NO,YES,NO,NO
conv_994,NO,YES,YES,NO,NO
conv_995,NO,NO,NO,NO,NO
conv_996,YES,NO,NO,NO,NO
conv_997,YES,NO,YES,NO,NO
conv_998,NO,NO,YES,NO,NO
conv_999,NO,NO,NO,NO,NO
conv_1000,NO,NO,YES,NO,NO
