ID,Q1: Age given,Q2: Age asked,Q3: Meet up request,Q4: Gift/Purchase,Q5: Videos/Photos
conv_1,No,No,Yes - Cameron asks Bianca to try French cuisine on Saturday night,No,No
conv_2,No,No,No,No,No
conv_3,No,No,No,No,No
conv_4,No,No,No,No,No
conv_5,No,No,No,No,No
conv_6,No,No,No,No,No
conv_7,No,No,No,No,No
conv_8,No,No,No,No,No
conv_9,No,No,Yes - Reference to a planned date (previously arranged),No,No
conv_10,No,No,No,No,No
conv_11,No,No,No,No,No
conv_12,No,No,Yes - Reference to wanting to go somewhere (context implies an event),No,No
conv_13,No,No,No,No,Yes - Reference to finding a picture in a drawer
conv_14,No,No,No,No,No
conv_15,No,No,No,No,No
conv_16,No,No,No,No,No
conv_17,No,No,Yes - Reference to being at a party,No,No
conv_18,No,No,No,No,No
conv_19,No,No,No,No,No
conv_20,No,No,No,No,No
conv_21,No,No,No,No,No
conv_22,No,No,No,No,No
conv_23,No,No,"Yes - ""Let's go"" (implies immediate movement)",No,No
conv_24,No,No,No,No,No
conv_25,No,No,No,No,No
conv_26,No,No,No,No,No
conv_27,No,No,No,No,No
conv_28,No,No,No,No,No
conv_29,No,No,No,No,No
conv_30,No,No,No,No,No
conv_31,Yes - References being sophomores,No,No,No,No
conv_32,Yes - References being sophomores at prom,No,Yes - Discussion about prom attendance,No,No
conv_33,No,No,No,No,No
conv_34,No,No,"Yes - Discussion about going to ""Bogey Lowenbrau's thing on Saturday""",No,No
conv_35,No,No,No,No,Yes - Discussion of modeling/catalog work
conv_36,No,No,No,No,Yes - More modeling discussion
conv_37,No,No,No,No,No
conv_38,No,No,Yes - Discussion about prom attendance,No,No
conv_39,No,No,No,No,No
conv_40,No,No,No,No,No
conv_41,No,No,Yes - Club Skunk event and Bogey Lowenstein's party mentioned,No,No
conv_42,No,No,Yes - Bogey Lowenstein's party mentioned again,No,No
conv_43,No,No,No,No,No
conv_44,No,No,No,No,No
conv_45,No,No,No,No,No
conv_46,No,No,No,No,No
conv_47,No,No,No,No,No
conv_48,Yes - References being a sophomore,No,Yes - Prom discussion,No,No
conv_49,Yes - Reference to 9th grade,No,No,No,No
conv_50,No,No,No,No,No
conv_51,No,No,No,No,No
conv_52,No,No,No,No,No
conv_53,No,No,No,No,No
conv_54,No,No,No,No,No
conv_55,No,No,No,No,No
conv_56,No,No,No,No,No
conv_57,No,No,No,No,No
conv_58,No,No,No,No,No
conv_59,No,No,"Yes - Reference to ""small study group""/""party""",No,No
conv_60,No,No,Yes - Party reference,No,No
conv_61,No,No,Yes - Party reference,No,No
conv_62,No,No,No,No,No
conv_63,No,No,No,No,No
conv_64,No,No,Yes - Prom discussion (tomorrow night),No,No
conv_65,No,No,No,No,No
conv_66,No,No,No,No,No
conv_67,No,No,No,No,No
conv_68,No,No,No,No,No
conv_69,No,No,No,No,No
conv_70,Yes - Reference to being a sophomore,No,No,No,No
conv_71,No,No,No,No,No
conv_72,No,No,No,No,No
conv_73,No,No,No,No,No
conv_74,No,No,No,No,No
conv_75,No,No,No,No,No
conv_76,No,No,No,No,No
conv_77,No,No,No,No,No
conv_78,No,No,No,No,No
conv_79,No,No,Yes - Party planning discussion,No,No
conv_80,No,No,No,No,No
conv_81,No,No,No,No,No
conv_82,No,No,No,No,No
conv_83,No,No,No,No,No
conv_84,No,No,No,No,No
conv_85,No,No,No,No,No
conv_86,No,No,No,No,No
conv_87,No,No,No,No,No
conv_88,No,No,No,No,No
conv_89,No,No,No,No,No
conv_90,No,No,No,No,No
conv_91,No,No,No,No,No
conv_92,No,No,No,No,No
conv_93,No,No,No,No,No
conv_94,No,No,No,No,No
conv_95,No,No,No,No,No
conv_96,No,No,No,No,No
conv_97,No,No,No,No,Yes - Reference to Kmart spread/modeling
conv_98,No,No,No,No,No
conv_99,No,No,No,No,No
conv_100,No,No,No,No,No
conv_101,No,No,No,No,No
conv_102,No,No,"Yes - Joey wants Patrick to ""go out with"" someone",No,No
conv_103,No,No,Yes - Discussion about paying Patrick to take someone out,Yes - Joey offers to pay Patrick to take someone out,No
conv_104,No,No,No,Yes - Discussion of payment ($20) for date,No
conv_105,No,No,No,Yes - Negotiation of payment ($50),No
conv_106,No,No,Yes - Reference to a date,Yes - Payment for date discussed,No
conv_107,No,No,No,Yes - Price increased to $100 per date,No
conv_108,No,No,No,Yes - Reference to payment deal,No
conv_109,No,No,No,No,No
conv_110,No,No,No,"Yes - Mentions expenses for limo, flowers, tux",No
conv_111,No,No,No,No,No
conv_112,No,No,Yes - Discussion about arranging dates,No,No
conv_113,No,No,No,No,No
conv_114,No,No,No,"Yes - Reference to being ""heavily invested""",No
conv_115,No,No,No,No,"Yes - Reference to ""porn movies"" in rumor"
conv_116,No,No,No,No,No
conv_117,No,No,No,No,No
conv_118,No,No,No,No,No
conv_119,No,No,No,No,No
conv_120,No,No,No,No,No
conv_121,No,No,No,No,No
conv_122,No,No,No,No,No
conv_123,No,No,No,No,No
conv_124,No,No,Yes - Reference to attending a party,No,No
conv_125,No,No,Yes - Discussion about prom attendance,No,No
conv_126,No,No,Yes - Reference to meeting someone,No,No
conv_127,No,No,No,No,No
conv_128,No,No,"Yes - ""Pick you up Friday""",No,No
conv_129,No,No,Yes - Discussion about taking someone places,No,No
conv_130,No,No,"Yes - Invitation to ""Dollar Night at the track"" at 7:30",No,No
conv_131,No,No,No,No,No
conv_132,No,No,No,No,No
conv_133,No,No,No,No,No
conv_134,No,No,No,No,No
conv_135,No,No,No,No,No
conv_136,No,No,Yes - Reference to being at a party,No,No
conv_137,No,No,No,No,No
conv_138,No,No,No,No,No
conv_139,No,No,No,No,No
conv_140,No,No,No,No,No
conv_141,No,No,No,No,No
conv_142,No,No,No,No,No
conv_143,No,No,No,No,No
conv_144,No,No,No,No,No
conv_145,No,No,No,No,No
conv_146,No,No,No,No,No
conv_147,No,No,No,No,No
conv_148,No,No,Yes - Reference to poetry reading attendance,No,No
conv_149,No,No,No,No,No
conv_150,No,No,No,No,No
conv_151,No,No,No,No,No
conv_152,No,No,No,No,No
conv_153,No,No,No,No,No
conv_154,No,No,No,No,No
conv_155,No,No,No,No,No
conv_156,No,No,No,No,"Yes - Reference to ""porn career"" rumor"
conv_157,No,No,Yes - Invitation to prom,No,No
conv_158,No,No,Yes - Discussion about prom invitation,No,No
conv_159,No,No,No,No,No
